Date;Inf
480;2.3
481;1
482;0.6
483;0.9
484;1.8
485;2.6
486;1.8
487;1
488;1.3
489;2.1
490;1.5
491;1.6
492;2.8
493;2.3
494;1.9
495;1.8
496;1.8
497;1.6
498;0.5
499;0
500;0.6
501;1.1
502;1.4
503;1.6
504;3.1
505;1.2
506;1.1
507;1.2
508;1.7
509;0.5
510;0.7
511;0.1
512;0.4
513;1.1
514;1.6
515;1.5
516;2.4
517;1.6
518;1.1
519;1
520;0.8
521;0.8
522;0.7
523;-0.4
524;0.3
525;1
526;1
527;1.1
528;1.8
529;1
530;0.8
531;1
532;0.7
533;0.8
534;0.9
535;0.4
536;0.4
537;1.1
538;1.1
539;1.1
540;2.6
541;1.2
542;1.3
543;1.1
544;0.8
545;0.6
546;0.5
547;-0.1
548;0.3
549;0.6
550;0.7
551;0.8
552;2.4
553;1.7
554;0.8
555;0.4
556;0.5
557;0.3
558;0.7
559;0.2
560;0.1
561;0.3
562;0.6
563;0.8
564;1.7
565;1.1
566;0.6
567;0.6
568;0.6
569;1
570;0.9
571;0.1
572;0.8
573;1.6
574;1.2
575;1.1
576;2.3
577;1.2
578;1.2
579;1.4
580;1.4
581;1
582;0.5
583;0.4
584;0.8
585;0.9
586;0.8
587;0.7
588;2.4
589;1.7
590;1.3
591;0.7
592;0.6
593;0.6
594;0.6
595;0
596;0
597;0
598;0.3
599;0.4
600;1.6
601;0.9
602;0.6
603;0.3
604;0.5
605;0.4
606;0.4
607;0.6
608;0.8
609;0.5
610;0.8
611;1.1
612;2.4
613;0.8
614;0.6
615;0.4
616;0.5
617;0.2
618;0
619;-0.2
620;0
621;0.5
622;0.4
623;0.4
624;0.5
625;0.4
626;0.6
627;0.3
628;0.5
629;0.9
630;1.2
631;0.1
632;0.6
633;0.5
634;0.3
635;0.5
636;1
637;0.6
638;0.3
639;0.5
640;0.7
641;0.4
642;0.8
643;0.1
644;0.2
645;0.6
646;0.6
647;0.5
648;0.6
649;0.7
650;1
651;0.9
652;0.9
653;0.7
654;0.5
655;0.2
656;0.7
657;0.8
658;1.3
659;2.6
660;3.9
661;2.2
662;1.2
663;0.5
664;0.4
665;0.2
