Date;CAC 40;SP500
09.12.2014;4263.939941;2060.310059
08.12.2014;4375.47998;2075.370117
05.12.2014;4419.47998;2071.919922
04.12.2014;4323.890137;2074.330078
03.12.2014;4391.859863;2066.550049
02.12.2014;4388.299805;2053.439941
01.12.2014;4377.330078;2067.560059
28.11.2014;4390.180176;2072.830078
27.11.2014;4382.339844;2067.030029
26.11.2014;4373.419922;2069.409912
25.11.2014;4382.310059;2063.5
24.11.2014;4368.439941;2052.75
21.11.2014;4347.22998;2048.719971
20.11.2014;4234.209961;2051.800049
19.11.2014;4266.189941;2041.319946
18.11.2014;4262.379883;2039.819946
17.11.2014;4226.100098;2039.329956
14.11.2014;4202.459961;2038.25
13.11.2014;4187.950195;2039.680054
12.11.2014;4179.879883;2038.26001
11.11.2014;4244.100098;2031.920044
10.11.2014;4222.819824;2031.209961
07.11.2014;4189.890137;2023.569946
06.11.2014;4227.680176;2012.099976
05.11.2014;4208.419922;2017.810059
04.11.2014;4130.189941;2018.050049
03.11.2014;4194.029785;1994.650024
31.10.2014;4233.089844;1982.300049
30.10.2014;4141.240234;1985.050049
29.10.2014;4110.640137;1961.630005
28.10.2014;4112.669922;1964.579956
27.10.2014;4096.740234;1950.819946
24.10.2014;4128.899902;1927.109985
23.10.2014;4157.680176;1941.280029
22.10.2014;4105.089844;1904.01001
21.10.2014;4081.23999;1886.76001
20.10.2014;3991.23999;1862.76001
17.10.2014;4033.179932;1862.48999
16.10.2014;3918.620117;1877.699951
15.10.2014;3939.719971;1874.73999
14.10.2014;4088.25;1906.130005
13.10.2014;4078.699951;1928.209961
10.10.2014;4073.709961;1968.890015
09.10.2014;4141.450195;1935.099976
08.10.2014;4168.120117;1964.819946
07.10.2014;4209.140137;1967.900024
06.10.2014;4286.52002;1946.170044
03.10.2014;4281.740234;1946.160034
02.10.2014;4242.669922;1972.290039
01.10.2014;4365.27002;1977.800049
30.09.2014;4416.240234;1982.849976
29.09.2014;4358.069824;1965.98999
26.09.2014;4394.75;1998.300049
25.09.2014;4355.279785;1982.77002
24.09.2014;4413.720215;1994.290039
23.09.2014;4359.350098;2010.400024
22.09.2014;4442.549805;2011.359985
19.09.2014;4461.220215;2001.569946
18.09.2014;4464.700195;1998.97998
17.09.2014;4431.410156;1984.130005
16.09.2014;4409.149902;1985.540039
15.09.2014;4428.629883;1997.449951
12.09.2014;4441.700195;1995.689941
11.09.2014;4440.899902;1988.439941
10.09.2014;4450.790039;2001.540039
09.09.2014;4452.370117;2007.709961
08.09.2014;4474.930176;1997.650024
05.09.2014;4486.490234;2000.719971
04.09.2014;4494.939941;2002.280029
03.09.2014;4421.870117;2003.369995
02.09.2014;4378.330078;1996.73999
01.09.2014;4379.72998;2000.119995
29.08.2014;4381.040039;2000.02002
28.08.2014;4366.040039;1997.920044
27.08.2014;4395.259766;1988.400024
26.08.2014;4393.410156;1992.369995
25.08.2014;4342.109863;1986.51001
22.08.2014;4252.799805;1981.599976
21.08.2014;4292.930176;1971.73999
20.08.2014;4240.790039;1955.060059
19.08.2014;4254.450195;1955.180054
18.08.2014;4230.649902;1946.719971
15.08.2014;4174.359863;1933.75
14.08.2014;4205.430176;1936.920044
13.08.2014;4194.790039;1931.589966
12.08.2014;4162.160156;1909.569946
11.08.2014;4197.700195;1920.23999
08.08.2014;4147.810059;1920.209961
07.08.2014;4149.830078;1938.98999
06.08.2014;4207.140137;1925.150024
05.08.2014;4232.879883;1930.670044
04.08.2014;4217.220215;1970.069946
01.08.2014;4202.779785;1969.949951
31.07.2014;4246.140137;1978.910034
30.07.2014;4312.299805;1978.339966
29.07.2014;4365.580078;1987.97998
28.07.2014;4344.77002;1987.01001
25.07.2014;4330.549805;1983.530029
24.07.2014;4410.649902;1973.630005
23.07.2014;4376.319824;1978.219971
22.07.2014;4369.52002;1958.119995
21.07.2014;4304.740234;1981.569946
18.07.2014;4335.310059;1973.280029
17.07.2014;4316.120117;1977.099976
16.07.2014;4369.060059;1967.569946
15.07.2014;4305.310059;1964.680054
14.07.2014;4350.040039;1972.829956
11.07.2014;4316.5;1963.709961
10.07.2014;4301.259766;1977.650024
09.07.2014;4359.839844;1985.439941
08.07.2014;4342.529785;1974.619995
07.07.2014;4405.759766;1973.319946
04.07.2014;4468.97998;1960.22998
03.07.2014;4489.879883;1960.959961
02.07.2014;4444.720215;1957.219971
01.07.2014;4461.120117;1959.530029
30.06.2014;4422.839844;1949.97998
27.06.2014;4436.990234;1962.609985
26.06.2014;4439.629883;1962.869995
25.06.2014;4460.600098;1959.47998
24.06.2014;4518.339844;1956.97998
23.06.2014;4515.569824;1941.98999
20.06.2014;4541.339844;1937.780029
19.06.2014;4563.040039;1936.160034
18.06.2014;4530.370117;1930.109985
17.06.2014;4536.069824;1943.890015
16.06.2014;4510.049805;1950.790039
13.06.2014;4543.279785;1951.27002
12.06.2014;4554.399902;1949.439941
11.06.2014;4555.109863;1940.459961
10.06.2014;4595;1927.880005
09.06.2014;4589.120117;1924.23999
06.06.2014;4581.120117;1924.969971
05.06.2014;4548.72998;1923.569946
04.06.2014;4501;1920.030029
03.06.2014;4503.689941;1909.780029
02.06.2014;4515.890137;1911.910034
30.05.2014;4519.569824;1900.530029
29.05.2014;4530.509766;1892.48999
28.05.2014;4531.629883;1888.030029
27.05.2014;4529.75;1872.829956
26.05.2014;4526.930176;1885.079956
23.05.2014;4493.149902;1877.859985
22.05.2014;4478.209961;1870.849976
21.05.2014;4469.029785;1888.530029
20.05.2014;4452.350098;1897.449951
19.05.2014;4469.759766;1896.650024
16.05.2014;4456.279785;1878.47998
15.05.2014;4444.930176;1875.630005
14.05.2014;4501.040039;1878.209961
13.05.2014;4505.02002;1867.719971
12.05.2014;4493.649902;1884.660034
09.05.2014;4477.279785;1881.140015
08.05.2014;4507.240234;1883.680054
07.05.2014;4446.439941;1883.949951
06.05.2014;4428.069824;1878.329956
05.05.2014;4462.689941;1869.430054
02.05.2014;4458.169922;1863.400024
30.04.2014;4487.390137;1878.609985
29.04.2014;4497.680176;1875.390015
28.04.2014;4460.529785;1879.550049
25.04.2014;4443.629883;1871.890015
24.04.2014;4479.540039;1864.849976
23.04.2014;4451.080078;1862.310059
22.04.2014;4484.209961;1842.97998
17.04.2014;4431.810059;1830.609985
16.04.2014;4405.660156;1815.689941
15.04.2014;4345.350098;1833.079956
