Date,DAX,CAC40
09.12.2014,9851.349609,4263.939941
08.12.2014,9971.790039,4375.47998
05.12.2014,9934.080078,4419.47998
04.12.2014,9963.509766,4323.890137
03.12.2014,9980.849609,4391.859863
02.12.2014,9974.870117,4388.299805
01.12.2014,9915.55957,4377.330078
28.11.2014,9861.209961,4390.180176
27.11.2014,9785.540039,4382.339844
26.11.2014,9732.549805,4373.419922
25.11.2014,9483.969727,4382.310059
24.11.2014,9472.799805,4368.439941
21.11.2014,9456.530273,4347.22998
20.11.2014,9306.349609,4234.209961
19.11.2014,9252.94043,4266.189941
18.11.2014,9248.509766,4262.379883
17.11.2014,9210.959961,4226.100098
14.11.2014,9369.030273,4202.459961
13.11.2014,9351.870117,4187.950195
12.11.2014,9291.830078,4179.879883
11.11.2014,9377.410156,4244.100098
10.11.2014,9315.480469,4222.819824
07.11.2014,9166.469727,4189.890137
06.11.2014,9251.700195,4227.680176
05.11.2014,9326.870117,4208.419922
04.11.2014,9114.839844,4130.189941
03.11.2014,9082.80957,4194.029785
31.10.2014,9068.19043,4233.089844
30.10.2014,8902.610352,4141.240234
29.10.2014,8987.799805,4110.640137
28.10.2014,9047.30957,4112.669922
27.10.2014,8940.139648,4096.740234
24.10.2014,8886.959961,4128.899902
23.10.2014,8717.759766,4157.680176
22.10.2014,8850.269531,4105.089844
21.10.2014,8582.900391,4081.23999
20.10.2014,8571.950195,3991.23999
17.10.2014,8825.209961,4033.179932
16.10.2014,8812.429688,3918.620117
15.10.2014,8788.80957,3939.719971
14.10.2014,9005.019531,4088.25
13.10.2014,8995.330078,4078.699951
10.10.2014,9086.209961,4073.709961
09.10.2014,9209.509766,4141.450195
08.10.2014,9195.679688,4168.120117
07.10.2014,9382.030273,4209.140137
06.10.2014,9474.299805,4286.52002
03.10.2014,9422.910156,4281.740234
02.10.2014,9490.549805,4242.669922
01.10.2014,9510.009766,4365.27002
30.09.2014,9661.969727,4416.240234
29.09.2014,9595.030273,4358.069824
26.09.2014,9749.540039,4394.75
25.09.2014,9799.259766,4355.279785
24.09.2014,9798.129883,4413.720215
23.09.2014,9661.5,4359.350098
22.09.2014,9632.929688,4442.549805
19.09.2014,9659.629883,4461.220215
18.09.2014,9651.129883,4464.700195
17.09.2014,9691.280273,4431.410156
16.09.2014,9700.169922,4409.149902
15.09.2014,9710.700195,4428.629883
12.09.2014,9758.030273,4441.700195
11.09.2014,9747.019531,4440.899902
10.09.2014,9724.259766,4450.790039
09.09.2014,9626.490234,4452.370117
08.09.2014,9507.019531,4474.930176
05.09.2014,9479.030273,4486.490234
04.09.2014,9470.169922,4494.939941
03.09.2014,9462.55957,4421.870117
02.09.2014,9569.709961,4378.330078
01.09.2014,9588.150391,4379.72998
29.08.2014,9510.139648,4381.040039
28.08.2014,9339.169922,4366.040039
27.08.2014,9401.530273,4395.259766
26.08.2014,9314.570312,4393.410156
25.08.2014,9334.280273,4342.109863
22.08.2014,9245.330078,4252.799805
21.08.2014,9092.599609,4292.930176
20.08.2014,9225.099609,4240.790039
19.08.2014,9198.879883,4254.450195
18.08.2014,9069.469727,4230.649902
15.08.2014,9180.740234,4174.359863
14.08.2014,9009.320312,4205.430176
13.08.2014,9038.969727,4194.790039
12.08.2014,9130.040039,4162.160156
11.08.2014,9189.740234,4197.700195
08.08.2014,9154.139648,4147.810059
07.08.2014,9210.080078,4149.830078
06.08.2014,9407.480469,4207.140137
05.08.2014,9593.679688,4232.879883
04.08.2014,9653.629883,4217.220215
01.08.2014,9598.169922,4202.779785
31.07.2014,9644.009766,4246.140137
30.07.2014,9794.05957,4312.299805
29.07.2014,9753.55957,4365.580078
28.07.2014,9734.330078,4344.77002
25.07.2014,9612.049805,4330.549805
24.07.2014,9720.019531,4410.649902
23.07.2014,9753.879883,4376.319824
22.07.2014,9859.269531,4369.52002
21.07.2014,9719.410156,4304.740234
18.07.2014,9783.009766,4335.310059
17.07.2014,9666.339844,4316.120117
16.07.2014,9659.129883,4369.060059
15.07.2014,9808.200195,4305.310059
14.07.2014,9772.669922,4350.040039
11.07.2014,9906.070312,4316.5
10.07.2014,10009.08008,4301.259766
09.07.2014,10029.42969,4359.839844
08.07.2014,9911.269531,4342.529785
07.07.2014,9902.410156,4405.759766
04.07.2014,9833.070312,4468.97998
03.07.2014,9815.169922,4489.879883
02.07.2014,9804.900391,4444.720215
01.07.2014,9867.75,4461.120117
30.06.2014,9938.080078,4422.839844
27.06.2014,9920.919922,4436.990234
26.06.2014,9987.240234,4439.629883
25.06.2014,10004,4460.600098
24.06.2014,9930.330078,4518.339844
23.06.2014,9920.320312,4515.569824
20.06.2014,9883.980469,4541.339844
19.06.2014,9912.870117,4563.040039
18.06.2014,9938.700195,4530.370117
17.06.2014,9949.80957,4536.069824
16.06.2014,10028.79981,4510.049805
13.06.2014,10008.62988,4543.279785
12.06.2014,9987.19043,4554.399902
11.06.2014,9947.830078,4555.109863
10.06.2014,9926.669922,4595
09.06.2014,9919.740234,4589.120117
06.06.2014,9950.120117,4581.120117
05.06.2014,9943.269531,4548.72998
04.06.2014,9938.900391,4501
03.06.2014,9939.169922,4503.689941
02.06.2014,9940.820312,4515.890137
30.05.2014,9892.820312,4519.569824
29.05.2014,9768.009766,4530.509766
28.05.2014,9720.910156,4531.629883
27.05.2014,9697.870117,4529.75
26.05.2014,9639.080078,4526.930176
23.05.2014,9659.389648,4493.149902
22.05.2014,9629.099609,4478.209961
21.05.2014,9656.049805,4469.029785
20.05.2014,9754.389648,4452.350098
19.05.2014,9754.429688,4469.759766
16.05.2014,9702.459961,4456.279785
15.05.2014,9581.450195,4444.930176
14.05.2014,9607.400391,4501.040039
13.05.2014,9521.299805,4505.02002
12.05.2014,9467.530273,4493.649902
09.05.2014,9529.5,4477.279785
08.05.2014,9556.019531,4507.240234
07.05.2014,9603.230469,4446.439941
06.05.2014,9584.120117,4428.069824
05.05.2014,9446.360352,4462.689941
02.05.2014,9401.549805,4458.169922
30.04.2014,9548.679688,4487.390137
29.04.2014,9544.19043,4497.680176
28.04.2014,9600.089844,4460.529785
25.04.2014,9409.709961,4443.629883
24.04.2014,9317.820312,4479.540039
23.04.2014,9173.709961,4451.080078
22.04.2014,9339.169922,4484.209961
17.04.2014,9315.290039,4431.810059
16.04.2014,9454.540039,4405.660156
15.04.2014,9506.349609,4345.350098
14.04.2014,9490.790039,4384.560059
11.04.2014,9510.849609,4365.859863
10.04.2014,9695.769531,4413.490234
09.04.2014,9628.820312,4442.680176
08.04.2014,9623.360352,4424.830078
07.04.2014,9603.709961,4436.080078
04.04.2014,9555.910156,4484.549805
03.04.2014,9587.19043,4449.330078
02.04.2014,9451.209961,4430.859863
01.04.2014,9448.580078,4426.720215
31.03.2014,9338.400391,4391.5
28.03.2014,9188.769531,4411.259766
27.03.2014,9342.94043,4379.060059
26.03.2014,9296.120117,4385.149902
25.03.2014,9277.049805,4344.120117
24.03.2014,9242.549805,4276.339844
21.03.2014,9180.889648,4335.279785
20.03.2014,9056.410156,4327.910156
19.03.2014,9017.790039,4308.060059
18.03.2014,9188.69043,4313.259766
17.03.2014,9307.790039,4271.959961
14.03.2014,9265.5,4216.370117
13.03.2014,9350.75,4250.509766
12.03.2014,9542.870117,4306.259766
11.03.2014,9542.019531,4349.720215
10.03.2014,9589.150391,4370.839844
07.03.2014,9358.889648,4366.419922
06.03.2014,9692.080078,4417.040039
05.03.2014,9588.330078,4391.25
04.03.2014,9661.730469,4395.899902
03.03.2014,9699.349609,4290.870117
28.02.2014,9708.94043,4408.080078
27.02.2014,9656.950195,4396.390137
26.02.2014,9618.849609,4396.910156
25.02.2014,9660.049805,4414.549805
24.02.2014,9659.780273,4419.129883
21.02.2014,9656.759766,4381.060059
20.02.2014,9662.400391,4355.490234
19.02.2014,9596.769531,4341.100098
18.02.2014,9540,4330.709961
17.02.2014,9478.769531,4335.169922
14.02.2014,9289.860352,4340.140137
13.02.2014,9301.919922,4312.799805
12.02.2014,9256.580078,4305.5
11.02.2014,9116.320312,4283.319824
10.02.2014,9127.910156,4237.129883
07.02.2014,9186.519531,4228.180176
06.02.2014,9306.480469,4188.100098
05.02.2014,9373.480469,4117.790039
04.02.2014,9336.730469,4117.450195
03.02.2014,9406.910156,4107.75
31.01.2014,9349.219727,4165.720215
30.01.2014,9392.019531,4180.02002
29.01.2014,9631.040039,4156.97998
28.01.2014,9720.110352,4185.290039
27.01.2014,9730.120117,4144.560059
24.01.2014,9715.900391,4161.470215
23.01.2014,9742.959961,4280.959961
22.01.2014,9717.709961,4324.97998
21.01.2014,9733.80957,4323.870117
20.01.2014,9540.509766,4322.859863
17.01.2014,9510.169922,4327.5
16.01.2014,9473.240234,4319.27002
15.01.2014,9421.610352,4332.069824
14.01.2014,9497.839844,4274.200195
13.01.2014,9506.200195,4263.27002
10.01.2014,9428,4250.600098
09.01.2014,9435.150391,4225.140137
08.01.2014,9400.040039,4260.959961
07.01.2014,9552.160156,4262.680176
06.01.2014,9589.389648,4227.540039
03.01.2014,9488.820312,4247.649902
02.01.2014,9400.179688,4227.279785
31.12.2013,9335.740234,4295.950195
30.12.2013,9181.75,4275.709961
27.12.2013,9085.120117,4277.649902
24.12.2013,9163.55957,4218.410156
23.12.2013,9006.459961,4215.290039
20.12.2013,9017,4193.77002
19.12.2013,9077.110352,4154.27002
18.12.2013,9114.44043,4109.509766
17.12.2013,9195.169922,4068.639893
16.12.2013,9172.410156,4119.879883
