"Code";"Year";"F1";"F2";"F3";"F4";"F5";"F6";"inst"
"CHE";2009;1.59;1.28;1.96;1.58;1.76;2.09;2.16837576840637
"CHE";2010;1.63;1.23;1.89;1.65;1.77;2.1;2.21030534407311
"CHE";2011;1.63;1.28;1.87;1.64;1.74;2.05;2.16423411729451
"CHE";2012;1.67;1.4;1.88;1.66;1.81;2.15;2.39573188339155
"CHE";2013;1.65;1.37;1.81;1.63;1.79;2.13;2.25448691477441
"TUR";2000;-0.43;-0.85;0.02;0.36;-0.06;-0.33;-6.15367983098764
"TUR";2001;-0.385;-0.86;0.03;0.225;-0.06;-0.52;-6.33417658557236
"TUR";2002;-0.34;-0.87;0.04;0.09;-0.06;-0.71;-6.51467334015708
"TUR";2003;-0.12;-0.81;0.04;0.03;0.13;-0.23;-5.93187486418639
"TUR";2004;-0.03;-0.84;0.04;0.07;0.13;-0.17;-5.78672645013504
"TUR";2005;-0.04;-0.6;0.16;0.27;0.16;-0.02;-5.29225851307707
"TUR";2006;-0.11;-0.6;0.16;0.29;0.05;0;-5.41225443824848
"TUR";2007;-0.09;-0.82;0.3;0.32;0.02;0.09;-5.34778994239778
"TUR";2008;-0.08;-0.85;0.26;0.27;0.08;0.08;-5.39305697462
"TUR";2009;-0.09;-1.03;0.29;0.3;0.1;0.07;-5.43636568740153
"TUR";2010;-0.12;-0.92;0.31;0.31;0.12;0.03;-5.39187689430318
"TUR";2011;-0.16;-0.96;0.36;0.38;0.08;0.06;-5.36194283073295
"TUR";2012;-0.23;-1.19;0.4;0.42;0.04;0.17;-5.45521906314952
"TUR";2013;-0.26;-1.19;0.37;0.42;0.08;0.11;-5.51056740806509
"GBR";2000;1.34;0.98;1.86;1.85;1.65;2.24;1.94343572231191
"GBR";2001;1.305;0.79;1.855;1.795;1.645;2.185;1.72094137674965
"GBR";2002;1.27;0.6;1.85;1.74;1.64;2.13;1.4984470311874
"GBR";2003;1.31;0.25;1.83;1.67;1.66;2.07;1.25876001307371
"GBR";2004;1.61;0.15;1.9;1.76;1.62;1.96;1.56276333385402
"GBR";2005;1.44;0.09;1.75;1.62;1.55;1.9;1.03279234755808
"GBR";2006;1.39;0.64;1.72;1.84;1.75;1.79;1.54105122670383
"GBR";2007;1.34;0.56;1.66;1.85;1.68;1.72;1.32736567984688
"GBR";2008;1.33;0.46;1.64;1.77;1.66;1.66;1.12841078060762
"GBR";2009;1.31;0.11;1.5;1.59;1.73;1.6;0.669356595854817
"GBR";2010;1.29;0.4;1.56;1.74;1.76;1.56;0.988055844549669
"GBR";2011;1.3;0.35;1.55;1.66;1.64;1.58;0.81288290409175
"GBR";2012;1.32;0.41;1.53;1.64;1.69;1.64;0.897305003552491
"GBR";2013;1.32;0.48;1.47;1.77;1.67;1.68;1.019942295019
"USA";2000;1.35;1.01;1.84;1.74;1.54;1.66;1.46766932593323
"USA";2001;1.35;0.61;1.77;1.66;1.515;1.835;1.20528792330463
"USA";2002;1.35;0.21;1.7;1.58;1.49;2.01;0.942906520676044
"USA";2003;1.3;0.05;1.61;1.58;1.55;1.77;0.660219474327244
"USA";2004;1.31;-0.2;1.8;1.59;1.43;1.86;0.652636009500366
"USA";2005;1.28;-0.09;1.57;1.61;1.53;1.53;0.426880709369532
"USA";2006;1.08;0.49;1.6;1.64;1.57;1.32;0.494964436876759
"USA";2007;1.09;0.37;1.65;1.5;1.58;1.34;0.363698847734742
"USA";2008;1.12;0.56;1.6;1.54;1.61;1.41;0.551631594123437
"USA";2009;1.09;0.43;1.5;1.39;1.58;1.26;0.136361553483325
"USA";2010;1.12;0.44;1.55;1.43;1.63;1.26;0.2831045276164
"USA";2011;1.11;0.6;1.51;1.45;1.61;1.27;0.336211695443462
"USA";2012;1.13;0.63;1.51;1.29;1.6;1.38;0.269161830304831
"USA";2013;1.08;0.61;1.5;1.26;1.54;1.28;0.0769419012711087
