Time,Code,Y,FSANL,FSCD,FSEIM,FSERA
2008,Argentina,4.21,3.108384744,152.6768795,29.20803613,1.998297362
2008,Brazil,5.83,3.106392568,119.8608678,89.25175623,2.102888546
2008,Israel,6.14,,107.1585141,59.40712112,0.043160679
2008,"China,_P.R.:_Hong_Kong",5.61,1.23,,57.8,0.56
2008,India,5.87,2.449712061,,61.61917788,0.947035234
2008,Indonesia,4.26,3.1897163,123.7464301,63.55189617,2.385956938
2008,"Korea,_Republic_of",4.32,0.571914662,74.01724163,66.31827377,0.673785406
2008,Malaysia,5.66,4.808180972,,58.2381223,1.471672273
2008,Singapore,5.78,1.425499655,120.4899049,73.46886258,0.858842567
2008,Bulgaria,3.91,2.403906529,83.85126451,75.05854899,2.124315374
2008,Russian_Federation,3.45,3.802113544,56.03710249,42.94206525,2.055412409
2008,Ukraine,3.5,3.883848243,48.36366984,51.15717043,0.884679345
2008,Czech_Republic,5.41,2.80546423,125.5937105,64.9585089,1.10186728
2008,Slovak_Republic,4.7,2.486045253,98.94250126,65.91200809,1.200145495
2008,Estonia,5.27,1.944684776,66.78071388,58.08552304,1.185525518
2008,Hungary,2.88,2.983291297,,65.39490681,1.147106612
2008,Lithuania,3.61,6.083718522,53.59051698,88.13464962,1.113468498
2008,Croatia,3.13,4.872228506,81.03527991,62.06549047,3.403395424
2008,Slovenia,5.29,4.21574658,,65.67713122,0.546690097
2008,Poland,3.43,2.822081993,86.51944837,55.70846974,1.539615618
2008,Romania,3.5,2.746502654,81.94662184,44.7582868,1.562075068
2009,United_States,3.77,4.959904136,123.8709454,62.59718626,0.224398171
2009,United_Kingdom,2.85,3.508657018,100.8098417,44.09588228,-0.002672001
2009,Austria,4.98,2.250422587,75.77229567,69.73497189,0.080853045
2009,Belgium,4.42,3.114947204,100.9976469,70.81825057,-0.097431717
2009,Denmark,5.79,,30.13300094,,
2009,France,3.89,4.021931127,76.15886008,44.65354668,0.294943806
2009,Germany,4.79,3.31,76.46752888,72.42553326,0.213921115
2009,Italy,4.19,9.446343739,65.16891659,60.83232818,0.31120522
2009,Luxembourg,4.47,0.670613945,137.7287535,36.54284482,0.638502988
2009,Netherlands,4.83,3.20168768,,68.8486751,-0.018909331
2009,Norway,5.96,1.278710526,,37.61512884,0.819525749
2009,Sweden,4.77,0.834133008,,59.68957256,0.351977113
2009,Switzerland,5.38,1.034182673,97.24220051,30.42628969,0.476167123
2009,Canada,4.38,1.267945561,114.1892992,46.43239826,0.726344078
2009,Japan,4,2.551989581,126.4432882,75.09004818,0.214035606
2009,Finland,5,,65.2551562,43.68641532,0.632250936
2009,Greece,3.38,6.953954606,125.6731737,73.31371091,0.370286814
2009,Ireland,2.3,9.796366608,,60.03232871,-1.616547046
2009,Portugal,2.2,4.824665263,59.18405701,53.82617512,0.448185589
2009,Spain,2.33,4.121031336,76.62571343,65.32443245,0.589835754
2009,Turkey,4.28,4.969976254,121.1972428,69.24794854,3.272833335
2009,Australia,5.83,2.023952124,,52.36661698,1.035081523
2009,South_Africa,4.84,,,,
2009,Argentina,3.37,3.466828307,160.0147103,33.7650512,3.593864326
2009,Brazil,5.54,4.214994697,116.6172538,76.2669901,1.739793538
2009,Israel,5.53,,110.3968059,59.46258551,0.856334399
2009,"China,_P.R.:_Hong_Kong",4.94,1.58,,47.65,0.78
2009,Indonesia,4.09,3.288387381,126.4607619,62.54050672,2.6091375
